ENTIDAD_ASCII,COALICION,FORMULA,GRUPO_PARLAMENTARIO,PARTIDO_ORIGEN
CIUDAD DE MÉXICO,Juntos Haremos Historia,1,MORENA,MORENA
CIUDAD DE MÉXICO,Juntos Haremos Historia,2,MORENA,MORENA
CIUDAD DE MÉXICO,Juntos Haremos Historia,3,MORENA,MORENA
TABASCO,Juntos Haremos Historia,1,MORENA,MORENA
TABASCO,Juntos Haremos Historia,2,MORENA,MORENA
TABASCO,Juntos Haremos Historia,3,MORENA,MORENA
CHIAPAS,Juntos Haremos Historia,1,MORENA,MORENA
CHIAPAS,Juntos Haremos Historia,2,MORENA,MORENA
CHIAPAS,Juntos Haremos Historia,3,MORENA,MORENA
OAXACA,Juntos Haremos Historia,1,MORENA,MORENA
OAXACA,Juntos Haremos Historia,2,MORENA,MORENA
OAXACA,Juntos Haremos Historia,3,MORENA,MORENA
VERACRUZ,Juntos Haremos Historia,1,MORENA,MORENA
VERACRUZ,Juntos Haremos Historia,2,MORENA,MORENA
VERACRUZ,Juntos Haremos Historia,3,MORENA,MORENA
MORELOS,Juntos Haremos Historia,1,MORENA,MORENA
MORELOS,Juntos Haremos Historia,2,MORENA,MORENA
MORELOS,Juntos Haremos Historia,3,MORENA,MORENA
TLAXCALA,Juntos Haremos Historia,1,MORENA,MORENA
TLAXCALA,Juntos Haremos Historia,2,MORENA,MORENA
TLAXCALA,Juntos Haremos Historia,3,MORENA,MORENA
HIDALGO,Juntos Haremos Historia,1,MORENA,MORENA
HIDALGO,Juntos Haremos Historia,2,MORENA,MORENA
HIDALGO,Juntos Haremos Historia,3,MORENA,MORENA
PUEBLA,Juntos Haremos Historia,1,MORENA,MORENA
PUEBLA,Juntos Haremos Historia,2,MORENA,MORENA
PUEBLA,Juntos Haremos Historia,3,MORENA,MORENA
GUERRERO,Juntos Haremos Historia,1,MORENA,MORENA
GUERRERO,Juntos Haremos Historia,2,MORENA,MORENA
GUERRERO,Juntos Haremos Historia,3,MORENA,MORENA
MICHOACÁN,Juntos Haremos Historia,1,MORENA,MORENA
MICHOACÁN,Juntos Haremos Historia,2,MORENA,MORENA
MICHOACÁN,Juntos Haremos Historia,3,MORENA,MORENA
NAYARIT,Juntos Haremos Historia,1,MORENA,MORENA
NAYARIT,Juntos Haremos Historia,2,MORENA,MORENA
NAYARIT,Juntos Haremos Historia,3,MORENA,MORENA
ZACATECAS,Juntos Haremos Historia,1,MORENA,MORENA
ZACATECAS,Juntos Haremos Historia,2,MORENA,MORENA
ZACATECAS,Juntos Haremos Historia,3,MORENA,MORENA
COLIMA,Juntos Haremos Historia,1,MORENA,MORENA
COLIMA,Juntos Haremos Historia,2,MORENA,MORENA
COLIMA,Juntos Haremos Historia,3,MORENA,MORENA
CAMPECHE,Juntos Haremos Historia,1,MORENA,MORENA
CAMPECHE,Juntos Haremos Historia,2,MORENA,MORENA
CAMPECHE,Juntos Haremos Historia,3,MORENA,MORENA
QUINTANA ROO,Juntos Haremos Historia,1,MORENA,MORENA
QUINTANA ROO,Juntos Haremos Historia,2,MORENA,MORENA
QUINTANA ROO,Juntos Haremos Historia,3,MORENA,MORENA
BAJA CALIFORNIA SUR,Juntos Haremos Historia,1,MORENA,MORENA
BAJA CALIFORNIA SUR,Juntos Haremos Historia,2,MORENA,MORENA
BAJA CALIFORNIA SUR,Juntos Haremos Historia,3,MORENA,MORENA
SINALOA,Juntos Haremos Historia,1,MORENA,MORENA
SINALOA,Juntos Haremos Historia,2,MORENA,MORENA
SINALOA,Juntos Haremos Historia,3,MORENA,MORENA
DURANGO,Juntos Haremos Historia,1,MORENA,MORENA
DURANGO,Juntos Haremos Historia,2,MORENA,MORENA
DURANGO,Juntos Haremos Historia,3,MORENA,MORENA
GUANAJUATO,Por México al Frente,1,PAN,PAN
GUANAJUATO,Por México al Frente,2,PAN,PAN
GUANAJUATO,Por México al Frente,3,PAN,PAN
JALISCO,Por México al Frente,1,PAN,PAN
JALISCO,Por México al Frente,2,PAN,PAN
JALISCO,Por México al Frente,3,PAN,PAN
NUEVO LEÓN,Por México al Frente,1,PAN,PAN
NUEVO LEÓN,Por México al Frente,2,PAN,PAN
NUEVO LEÓN,Por México al Frente,3,PAN,PAN
CHIHUAHUA,Por México al Frente,1,PAN,PAN
CHIHUAHUA,Por México al Frente,2,PAN,PAN
CHIHUAHUA,Por México al Frente,3,PAN,PAN
BAJA CALIFORNIA,Por México al Frente,1,PAN,PAN
BAJA CALIFORNIA,Por México al Frente,2,PAN,PAN
BAJA CALIFORNIA,Por México al Frente,3,PAN,PAN
YUCATÁN,Por México al Frente,1,PAN,PAN
YUCATÁN,Por México al Frente,2,PAN,PAN
YUCATÁN,Por México al Frente,3,PAN,PAN
MÉXICO,Todos por México,1,PRI,PRI
MÉXICO,Todos por México,2,PRI,PRI
MÉXICO,Todos por México,3,PRI,PRI
COAHUILA,Todos por México,1,PRI,PRI
COAHUILA,Todos por México,2,PRI,PRI
COAHUILA,Todos por México,3,PRI,PRI
TAMAULIPAS,Todos por México,1,PRI,PRI
TAMAULIPAS,Todos por México,2,PRI,PRI
TAMAULIPAS,Todos por México,3,PRI,PRI
AGUASCALIENTES,Todos por México,1,PRI,PRI
AGUASCALIENTES,Todos por México,2,PRI,PRI
AGUASCALIENTES,Todos por México,3,PRI,PRI
QUERÉTARO,Todos por México,1,PRI,PRI
QUERÉTARO,Todos por México,2,PRI,PRI
QUERÉTARO,Todos por México,3,PRI,PRI
SAN LUIS POTOSÍ,Por México al Frente,1,PRD,PRD
SAN LUIS POTOSÍ,Por México al Frente,2,PRD,PRD
SAN LUIS POTOSÍ,Todos por México,3,PVEM,PVEM
SONORA,Por México al Frente,1,PRD,PRD
SONORA,Por México al Frente,2,PRD,PRD
SONORA,Juntos Haremos Historia,3,PT,PT
