"entidad","entidad_ascii","distrito","coalicion","grupo_parlamentario","partido_origen"
"AGUASCALIENTES","AGUASCALIENTES",1,"JUNTOS HAREMOS HISTORIA","PT",\N
"AGUASCALIENTES","AGUASCALIENTES",1,"POR MEXICO AL FRENTE","PRD",\N
"AGUASCALIENTES","AGUASCALIENTES",2,"JUNTOS HAREMOS HISTORIA","PES",\N
"AGUASCALIENTES","AGUASCALIENTES",2,"POR MEXICO AL FRENTE","PAN",\N
"AGUASCALIENTES","AGUASCALIENTES",3,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"AGUASCALIENTES","AGUASCALIENTES",3,"POR MEXICO AL FRENTE","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",1,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",1,"POR MEXICO AL FRENTE","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",2,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",2,"POR MEXICO AL FRENTE","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",3,"JUNTOS HAREMOS HISTORIA","PT",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",3,"POR MEXICO AL FRENTE","PRD",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",4,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",4,"POR MEXICO AL FRENTE","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",5,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",5,"POR MEXICO AL FRENTE","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",6,"JUNTOS HAREMOS HISTORIA","PES",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",6,"POR MEXICO AL FRENTE","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",7,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",7,"POR MEXICO AL FRENTE","PAN",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",8,"JUNTOS HAREMOS HISTORIA","PES",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",8,"POR MEXICO AL FRENTE","",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",1,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",1,"POR MEXICO AL FRENTE","PAN",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",2,"JUNTOS HAREMOS HISTORIA","PT",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",2,"POR MEXICO AL FRENTE","PAN",\N
"CAMPECHE","CAMPECHE",1,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CAMPECHE","CAMPECHE",1,"POR MEXICO AL FRENTE","PRD",\N
"CAMPECHE","CAMPECHE",2,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CAMPECHE","CAMPECHE",2,"POR MEXICO AL FRENTE","PAN",\N
"CAMPECHE","CAMPECHE",2,"TODOS POR MEXICO",\N,\N
"CHIA PAS","CHIA PAS",11,"POR MEXICO AL FRENTE","PRD",\N
"CHIAPAS","CHIAPAS",1,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",1,"POR MEXICO AL FRENTE","PRD",\N
"CHIAPAS","CHIAPAS",2,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",2,"POR MEXICO AL FRENTE","PRD",\N
"CHIAPAS","CHIAPAS",3,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",3,"POR MEXICO AL FRENTE","MC",\N
"CHIAPAS","CHIAPAS",4,"JUNTOS HAREMOS HISTORIA","PT",\N
"CHIAPAS","CHIAPAS",4,"POR MEXICO AL FRENTE","PAN",\N
"CHIAPAS","CHIAPAS",5,"JUNTOS HAREMOS HISTORIA","PES",\N
"CHIAPAS","CHIAPAS",5,"POR MEXICO AL FRENTE","PRD",\N
"CHIAPAS","CHIAPAS",6,"JUNTOS HAREMOS HISTORIA","PES",\N
"CHIAPAS","CHIAPAS",6,"POR MEXICO AL FRENTE","PAN",\N
"CHIAPAS","CHIAPAS",7,"JUNTOS HAREMOS HISTORIA","PT",\N
"CHIAPAS","CHIAPAS",7,"POR MEXICO AL FRENTE","PAN",\N
"CHIAPAS","CHIAPAS",7,"TODOS POR MEXICO",\N,\N
"CHIAPAS","CHIAPAS",8,"JUNTOS HAREMOS HISTORIA","PT",\N
"CHIAPAS","CHIAPAS",8,"POR MEXICO AL FRENTE","MC",\N
"CHIAPAS","CHIAPAS",9,"POR MEXICO AL FRENTE","MC",\N
"CHIAPAS","CHIAPAS",9,"TODOS POR MEXICO",\N,\N
"CHIAPAS","CHIAPAS",10,"JUNTOS HAREMOS HISTORIA","PT",\N
"CHIAPAS","CHIAPAS",10,"POR MEXICO AL FRENTE","PRD",\N
"CHIAPAS","CHIAPAS",11,"JUNTOS HAREMOS HISTORIA","PES",\N
"CHIAPAS","CHIAPAS",12,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",12,"POR MEXICO AL FRENTE","PAN",\N
"CHIAPAS","CHIAPAS",12,"TODOS POR MEXICO",\N,\N
"CHIAPAS","CHIAPAS",13,"JUNTOS HAREMOS HISTORIA","PES",\N
"CHIAPAS","CHIAPAS",13,"POR MEXICO AL FRENTE","PRD",\N
"CHIAPAS","CHIAPAS",13,"TODOS POR MEXICO",\N,\N
"CHIHUAHUA","CHIHUAHUA",1,"JUNTOS HAREMOS HISTORIA","PT",\N
"CHIHUAHUA","CHIHUAHUA",1,"POR MEXICO AL FRENTE","PAN",\N
"CHIHUAHUA","CHIHUAHUA",2,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CHIHUAHUA","CHIHUAHUA",2,"POR MEXICO AL FRENTE","PRD",\N
"CHIHUAHUA","CHIHUAHUA",3,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CHIHUAHUA","CHIHUAHUA",3,"POR MEXICO AL FRENTE","PAN",\N
"CHIHUAHUA","CHIHUAHUA",4,"JUNTOS HAREMOS HISTORIA","PES",\N
"CHIHUAHUA","CHIHUAHUA",4,"POR MEXICO AL FRENTE","PAN",\N
"CHIHUAHUA","CHIHUAHUA",5,"JUNTOS HAREMOS HISTORIA","MORENA",\N
"CHIHUAHUA","CHIHUAHUA",5,"POR MEXICO AL FRENTE","PAN",\N
"CHIHUAHUA","CHIHUAHUA",6,"JUNTOS HAREMOS HISTORIA","MORENA",\N
