"entidad","entidad_ascii","distrito","coalicion","grupo_parlamentario","partido_origen"
"AGUASCALIENTES","AGUASCALIENTES",2,"JUNTOS HACEMOS HISTORIA","PT",\N
"AGUASCALIENTES","AGUASCALIENTES",3,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",7,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"BAJA CALIFORNIA","BAJA CALIFORNIA",8,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",1,"JUNTOS HACEMOS HISTORIA","PT",\N
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR",2,"JUNTOS HACEMOS HISTORIA","PT",\N
"CHIAPAS","CHIAPAS",1,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",5,"JUNTOS HACEMOS HISTORIA","PT",\N
"CHIAPAS","CHIAPAS",6,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",7,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",8,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",9,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIAPAS","CHIAPAS",10,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"CHIAPAS","CHIAPAS",11,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"CHIAPAS","CHIAPAS",13,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"CHIHUAHUA","CHIHUAHUA",2,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIHUAHUA","CHIHUAHUA",3,"JUNTOS HACEMOS HISTORIA","PT",\N
"CHIHUAHUA","CHIHUAHUA",4,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIHUAHUA","CHIHUAHUA",5,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"CHIHUAHUA","CHIHUAHUA",7,"JUNTOS HACEMOS HISTORIA","PT",\N
"CHIHUAHUA","CHIHUAHUA",8,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CHIHUAHUA","CHIHUAHUA",9,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",2,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",3,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",4,"JUNTOS HACEMOS HISTORIA","PT",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",5,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",8,"JUNTOS HACEMOS HISTORIA","PT",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",10,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",13,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",15,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",16,"JUNTOS HACEMOS HISTORIA","MORENA",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",17,"JUNTOS HACEMOS HISTORIA","PVEM",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",20,"JUNTOS HACEMOS HISTORIA","PT",\N
"CIUDAD DE MÉXICO","CIUDAD DE MEXICO",23,"JUNTOS HACEMOS HISTORIA","MORENA",\N
